0
PT. KALLA KAKAO INDUSTRI
PT. BARUGA ASRINUSA DEVELOPMENT
PT. BUMI LINTAS TAMA
PT. KALLA ELECTRICAL SYSTEM
PT. BUMI SARANA BETON
PT. KARS INTI AMANAH
PT. JELAJAH LAUT NUSANTARA
PT.BUMI JASA UTAMA
PT. KALLA INTI KARSA
YAYASAN KALLA
PT. BUMI JASA UTAMA-A
PT.Hadji Kalla
BUMI JASA UTAMA
"BUMI JASA UTAMA,PT"
PT HADJI KALLA
PT. BUMI KARSA
PDC/PT.JELAJAH LAUT NUSANTARA
Holding Kalla Group
GOWA KENCANA MOTOR PT.
PT. Bumi Asri Nusa
PT. BARUGA ASRINUSA DEVELOPMEN
PT. BUMI INFRASTRUKTUR NUSANTARA
PT. INTI KARSA PERSADA
RAYMOND MULDHANY
KOPERASI KARYAWAN HADJI KALLA
PT. BUMI JASA UTAMA
PT. BUMI SARANA UTAMA
YAYASAN HADJI KALLA
PT. BUMI SARANA MIGAS (BMS)
PT. HAKA SARANA INVESTAMA
PT. HADJI KALLA..
PT. BUMI MINERAL SULAWESI
PT.BUMI MINERAL SULAWESI
PT. BUMI RAMA NUSANTARA
BUMI KARSA
BUKAKA MANDIRI SEJAHTERA
PT. BUKAKA MANDIRI SEJAHTERA
PT. BUMI BARITO UTAMAA. AFIFUDDIN SUHAELI KALLA
"ABIPRAYA - BUMI KARSA  - CPA, KSO"
"ABIPRAYA-BUMI KARSA, KSO"
ABIPRAYA-BUMI KARSA-ISTAKA KSO
ARIANDY KAIMUDDIN (KARS VETERAN)
AS MITSUI SUMITOMO/PT HADJI KALLA
AS. MITSUI SUMITOMO/PT HADJI KALA
"AS.ADIRA / BUMI JASA UTAMA, PT"
AS.ADIRA / PT BUMI JASA UTAMA
AS.INDRA PURA / PT.BUMI JASA UTAMA
AS.MITSU SUMITOMO / PT.HADJI KALLA
AS.MITSUI SUMITOTMO / PT HADJI KALLA
AS.PERISCOPE/PT.BUMI JASA UTAMA
AS.WAHANA TATA / PT.BUMI JASA UTAMA
AS.WAHANA TATA/AS.BUMI JASA UTAMA
AS.WAHANA TATA/PT.BUMI JASA UTAMA/NASIR
BANK SUL-SEL/ PT.BUMI JASA UTAMA/AS.BJS
"BARUGA ASRI NUSA, PT"
"BARUGA ASRINUSA DEVELOPMENT, PT"
BARUGA PT
BJU/KALLA TRANSPORT
BP.HALIM KALLA/PT.MAKASSAR RAYA MOTOR
BPK TAQIUDDIN H KALLA
BPK.H.ABD.HALIK / BEBAN H.KALLA ALAUDDIN
BPK.ZUMADI/PT.BUMI KARSA/AS.JASA RAHARJA
BUKAKA MANDIRI SEJAHTERA
"BUMI  JASA  UTAMA, PT/KALLA TRANSPT/FUAD"
"BUMI JASA UTAM,PT"
BUMI JASA UTAMA
"BUMI JASA UTAMA , PT"
BUMI JASA UTAMA /  KACAB DAYA
BUMI JASA UTAMA PT
"BUMI JASA UTAMA, PT"
"BUMI JASA UTAMA, PT."
"BUMI JASA UTAMA, PT./PT. KISEL"
"BUMI JASA UTAMA, PT/ BP.DIRGA"
"BUMI JASA UTAMA, PT/ BP.FUAD"
"BUMI JASA UTAMA, PT/ BP.ODDANG"
"BUMI JASA UTAMA, PT/ P FUAD"
"BUMI JASA UTAMA, PT/ PT. KALLA TRANSPORT"
"BUMI JASA UTAMA, PT/KABENG URIF"
"BUMI JASA UTAMA,PT"
"BUMI JASA UTAMA,PT  / BP.ENAL"
"BUMI JASA UTAMA,PT/ BP.BAHAR"
"BUMI JASA UTAMA,PT/ KALLA TRANSPORT"
BUMI JASA UTAMA. PT
BUMI JASA UTAMA. PT/ DWI SPV URIP SALES
BUMI JASA UTAMA.PT
BUMI JASA UTAMA.PT/ PDAM
BUMI JASA UTAMA.PT/HJ NUR
BUMI JASA UTAMA.PT/KISEL/AS.BJS
BUMI JASA UTAMA.PT/KISEL/AS.PERISCOPE
BUMI JASA UTAMA/PT.AS.WAHANA TATA
BUMI KARSA
BUMI KARSA - INDOBANGUN KSO
"BUMI KARSA, PT"
BUMI MINERAL SULAWESI
DRA. HJ. FATIMAH KALLA
EVENT OOH-15541617-PT. BUMI JASA UTAMA
H. ARIANTO/WISMA KALLA
HADJI KALLA
HADJI KALLA .PT / PART DEPO
HADJI KALLA / MARKETING DEPARTEMENT
HADJI KALLA ALAUDDIN
HADJI KALLA DYNA / AFTERSALES DEPT
"HADJI KALLA MARTADINATA, PT"
HADJI KALLA PT
HADJI KALLA TOYOTA
HADJI KALLA URIP
"HADJI KALLA,PT /MARKETING DEPT/TESTDRIVE"
"HADJI KALLA,PT/ BPPT KALLA CAB.URIP/SPV"
HAKA SARANA INVESTAMA PT
HALIM KALLA
HJ.FITRIANI/AHYAR H.KALLA ALAUDDIN
Holding Kalla Group
INTI KARSA PERSADA
"INTI KARSA PERSADA, PT"
IR. HJ. FARIDA KALLA
KALLA
KALLA BUSINESS SCHOOL
KALLA DEVELOPMENT   CONSTRUCTION
KALLA FRIEND
KALLA LOGISTIC /PT.BINTANG SARANA TEKNIK
KALLA OTOMOTIVE
KALLA TOYOTA POSO
KALLA TOYOTA URIP
KALLA TRANSPOR
"KALLA TRANSPOR /JAMSIR,SE,MM/AS.PERISCOP"
KALLA TRANSPORT
"KALLA TRANSPORT / JAMSIR,SE,MM"
KANTOR - PT BUMI JASA UTAMA
"KARS INTI AMANAH, PT"
KOPERASI ALUMNI KALLA
KOPERASI KARYAWAN HADJI KALLA
KURNIATI NATSIR[WISMA KALLA]
MAKASSAR RAYA MOTOR
MARKETING DEPT HADJI KALLA
NV. H. KALLA TRD COY (DEPO PARTS)
PDC / PT HADJI KALLA
PDC LOGISTIC MKS/PT.HADJI KALLA
PDC LOGISTIK/PT.KALLA LINES/BP.NAHAR
PDC/PT.JELAJAH LAUT NUANTARA
PDC/PT.JELAJAH LAUT NUSANTARA
POMDAM/ WISMA KALLA
PT BARUGA ASRINUSA DEVELOPMENT
PT BUMI JASA UTAMA
PT BUMI JASA UTAMA / AS. WAHANA TATA
PT HADJI KALLA
PT HADJI KALLA KENDARI
PT HADJI KALLA PALU II
PT HADJI KALLA PALU II/AS MITSUI
PT KARS INTI AMANAH
"PT,BUMI JASA UTAMA/ADH.CAB.URIP"
PT. B J U / KALLA TRANSPORT
PT. BARUGA ASRINUSA
PT. BARUGA ASRINUSA DEVELOPMEN
PT. BARUGA ASRINUSA DEVELOPMENT
PT. BUKAKA MANDIRI SEJAHTERA
PT. BUKAKA TEKNIK UTAMA
PT. BUMI ASRI NUSA
PT. BUMI BARITO UTAMA
PT. BUMI JASA UTAMA
PT. BUMI JASA UTAMA  (GARUDA)
PT. BUMI JASA UTAMA (PAK HAMKA)
PT. BUMI JASA UTAMA (PAK SYAIFUL)
PT. BUMI JASA UTAMA / BAKHRUN
PT. BUMI JASA UTAMA / KABENG BPPT URIP
PT. BUMI JASA UTAMA / PT. TELK
PT. BUMI JASA UTAMA [PT. KISEL]
PT. BUMI JASA UTAMA ]
PT. BUMI JASA UTAMA-A
PT. BUMI JASA UTAMA/AS.WAHANA
PT. BUMI JASA UTAMA/BANK SUL-SEL
PT. BUMI JASA UTAMA/BPD BUNGKU
PT. BUMI JASA UTAMA/HK PALOPO [PART]
PT. BUMI JASA UTAMA/KABENG
PT. BUMI JASA UTAMA/PALU
PT. BUMI JASA UTAMA/PT. TONASA
PT. BUMI KARSA
PT. BUMI LINTAS TAMA
PT. BUMI MINERAL SULAWESI
PT. BUMI SARANA  BETON
PT. BUMI SARANA BETON
PT. BUMI SARANA MIGAS
PT. BUMI SARANA MIGAS (BMS)
PT. BUMI SARANA UTAMA
PT. Baruga Asrinusa Development
PT. Bumi Asri Nusa
PT. HADJI KALLA
PT. HADJI KALLA (OPEX TAM)
PT. HADJI KALLA (THS)
PT. HADJI KALLA / AMRAN G
PT. HADJI KALLA / EVAN
PT. HADJI KALLA / IBU HJ.ZOHRA KALLA
PT. HADJI KALLA / JUADY
PT. HADJI KALLA / MUHAMMADIYAH COP
PT. HADJI KALLA A. YANI
PT. HADJI KALLA CAB. KENDARI
PT. HADJI KALLA CABANG PALU JUANDA
PT. HADJI KALLA HOLDING
PT. HADJI KALLA MAROS
PT. HADJI KALLA P
PT. HADJI KALLA TOYOTA
PT. HADJI KALLA.
PT. HADJI KALLA..
PT. HADJI KALLA/BPK AMRAN GANTE
PT. HAKA SARANA INVESTAMA
PT. HAKA SARANA INVESTAMA 
PT. HUTAMA KARYA - BUMI KARSA KSO
PT. INTI KARSA PERSADA
PT. JELAJAH LAUT NUSANTARA
PT. KALLA AREMBAMA
PT. KALLA CHRYSLER TRANS
PT. KALLA ELECTRICAL SYSTEM
PT. KALLA INTI KARSA
PT. KALLA KAKAO INDUSTRI
PT. KARS INTI AMANAH
PT. KARS INTI AMANAH CAB. AHMAD YANI
PT. Kalla Inti Karsa
PT. Kars Inti Utama
PT.BJU/PESANTREN ATHIRAH BONE
PT.BJU/WISMA KALLA/AS.PERISCOPE
PT.BUMI JASA UATAMA / AS.BJS
PT.BUMI JASA UTAMA
PT.BUMI JASA UTAMA ( KABENG SOPPENG)
PT.BUMI JASA UTAMA /  BPK.GUNAWAN
PT.BUMI JASA UTAMA / AS.PERISCOPE /PANIN
PT.BUMI JASA UTAMA / BANK SULTENG
PT.BUMI JASA UTAMA / BPK.ALI WARDANA
PT.BUMI JASA UTAMA / DIRGA
PT.BUMI JASA UTAMA / KA.PART HK PALU
PT.BUMI JASA UTAMA / PT.BANK BNI
PT.BUMI JASA UTAMA / PT.INDOOFOD
PT.BUMI JASA UTAMA / TELKOM
PT.BUMI JASA UTAMA / TELKOM /AS.PERISCOP
PT.BUMI JASA UTAMA /AS.BINTANG JASA UTM
PT.BUMI JASA UTAMA /AS.BJS
"PT.BUMI JASA UTAMA /BPK MUH SABIR ,SE"
PT.BUMI JASA UTAMA /BPK.DIRGA
PT.BUMI JASA UTAMA /BPK.H.MARZUKI
PT.BUMI JASA UTAMA QQ BNI BTC 
PT.BUMI JASA UTAMA [TONASA]
PT.BUMI JASA UTAMA(Kacab.Blk)
PT.BUMI JASA UTAMA/ BP
PT.BUMI JASA UTAMA/ ICCANG SPV URIP
PT.BUMI JASA UTAMA/ADH
PT.BUMI JASA UTAMA/ADH BONE
PT.BUMI JASA UTAMA/AFTER SALES/AS.BJS
PT.BUMI JASA UTAMA/ARMAN
PT.BUMI JASA UTAMA/AS ASWATA
PT.BUMI JASA UTAMA/AS. BINTANG JASA
PT.BUMI JASA UTAMA/AS.B.JASA SELARAS
PT.BUMI JASA UTAMA/AS.PERISCOPE
PT.BUMI JASA UTAMA/AS.WAHANA TATA
PT.BUMI JASA UTAMA/BNI
"PT.BUMI JASA UTAMA/BPK.A.MUH.GUNAWAN,SE"
PT.BUMI JASA UTAMA/BPK.H.DJAMIL
PT.BUMI JASA UTAMA/COCA COLA
PT.BUMI JASA UTAMA/GERAI HALO
PT.BUMI JASA UTAMA/H.LATOLA
PT.BUMI JASA UTAMA/HERYANTO
PT.BUMI JASA UTAMA/HK PART
PT.BUMI JASA UTAMA/KALLA RENT
PT.BUMI JASA UTAMA/PARTS INDIRECT
PT.BUMI JASA UTAMA/PDAM/AS.PERISCOPE
PT.BUMI JASA UTAMA/PERISCOPE
PT.BUMI JASA UTAMA/PERMODALAN 
PT.BUMI JASA UTAMA/PT. TELKOM/AS.PERISCOPE
PT.BUMI JASA UTAMA/PT.HAKA SARANA INVEST
PT.BUMI JASA UTAMA/PT.SEMEN TONASA
PT.BUMI JASA UTAMA/PT.TELKOM
PT.BUMI JASA UTAMA/PT.TELKOMSE
PT.BUMI JASA UTAMA/SUPERVISOR
PT.BUMI JASA UTAMA/TELKOM BONE
PT.BUMI JASA UTAMA/TELKOMSEL/BJU18
PT.BUMI KARSA/ABD MULUK
PT.BUMI MINERAL SULAWESI
PT.HADJI KALLA
PT.HADJI KALLA / MARKETING DEPARTMENT
PT.HADJI KALLA /AS.MITSUI
PT.HADJI KALLA CAB ALAUDDIN
PT.HADJI KALLA CABANG ALAUDDIN
PT.HADJI KALLA CABANG SENGKANG/PA JASRAN
PT.HADJI KALLA DEPT.MARKETING /HK.GOWA
PT.HADJI KALLA PALU
PT.HADJI KALLA SOPPENG
PT. WIN WAHANA CIPTA MARGA - KSO BARUGA ASRINUSA
PT.HADJI KALLA/AS.MITSUI SUMITOMO
PT.HADJI KALLA/DEPT.PERDUM
PT.HADJI KALLA/DEPT.SERVICE
PT.HADJI KALLA/LOGISTIC/HK.CAB ALAUDDIN
PT.HADJI KALLA/PDC LOSGISTICS
PT.HADJI KALLA/SLD LOGISTIC
PT.HADJI KALLA/SLD LOGISTIC / PDS
PT.HADJI KALLA/SLD/LOGISTIC PDC
PT.Hadji Kalla
PT.JELAJAH LAUT NUSANTARA / BP .NAHAR
PT.KALLA TOYOTA CABANG HK.BONE
PT.KARS INTI AMANAH
PT.KARS INTI AMANAH / BPK.ABDUH
PT.KARS INTI AMANAH / IBU TUTY
PT.KARS INTI AMANAH / KALLA KIA
PT.KARS INTI AMANAH / TRANS MALL
PT.KARS INTI AMANAH/IBU TUTI
PT.KARS INTI AMANAH/KALLA CRYSLER
PT.LINTAS TAMA /PT.KALLA INTI KARSA
SALES DEPARTEMENT KALLA TOYOTA
SEKOLAH ISLAM ATHIRAH
SOLIHIN JUSUF KALLA
SOLIHIN YUSUF KALLA
SUHAELY KALLA
SUKARDI (KARS HO)
WAYAN [BAG. GUDANG H. KALLA KOLAKA]
YAY. PENDIDIKAN DAN KESEJAHTERAAN ISLAM HADJI KALLA 
YAYASAN HADJI KALLA
YAYASAN KALLA
YUSNIATI/PT.BUMI JASA UTAMA
PT. GOWA MODERN MOTOR
AMANAH FINANCE
PT. AMANAH FINANCE
PT. BUMI HIJAU MOTOR
PT. Bumi Hijau Motor
YAYASAN RS. ISLAM FAISAL
PT. BUMI KARSA
PT. BUMI KARSA (MONORAIL)
"PT. BUMI KARSA - PT. ALFINDO PERKASA, KSO"
PT. BUMI KARSA - PT. MULTI KARADIGUNA JASA KSO
PT. BUMI KARSA / KSO GROGOT
EX.PT. BUMI KARSA
"PT. BUMI KARSA - PT.NINDYA KARYA,JO"
"JO. PT. BUMI KARSA - PT.TRI STAR MANDIRI, KSO"
PT. Bumi Karsa
PT. BUMI JASA UTAMA
BUMI JASA UTAMA
PT HADJI KALLA
PT.BUMI JASA UTAMA
PT. KARS INTI AMANAH
PT. BUMI SARANA UTAMA
PT. BARUGA ASRINUSA DEVELOPMENT
PT. KALLA INTI KARSA
KALLA TOYOTA URIP
PT. BUMI JASA UTAMA-A
PT. BUMI SARANA BETON
PT. BUMI INFRASTRUKTUR NUSANTARA
PT. INTI KARSA PERSADA
PT.BUMI KARSA
YAY PENDIDIKAN DAN KESEJAHTERAAN ISLAM HADJI KALLA
PP - BK KSO
PT. TRANS KALLA MAKASSAR
PP BK KSO
PP-BK KSO
"JKON - BBN - BK - DMP, KSO"
